feature,weight
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.0001436582324916872
"Pickup_-_Time,_hour_speed_median",0.0001420949329579571
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00013862938345387513
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00013654761357311104
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00013249407764261934
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00013197599307683707
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff,0.00012880577784335931
Arrival_at_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00012787663060733623
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00012778768029820162
Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00012617446685607583
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.0001246744702463511
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff,0.00012306112154474117
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.0001223479965081955
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,0.00012227324886015986
"Pickup_-_Time,_hour_speed_q_diff",0.00012085271387556366
"Placement_-_Time,_hour",0.00012053143948847304
Personal_or_Business,0.00011824208117381444
multiply_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00011301301532884149
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00011059272200045979
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00010783873617136324
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00010529518996942741
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,0.00010299730115647041
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,0.00010295077966464573
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,9.920007569582962e-05
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Pickup_-_Time_Confirmation_-_Time_diff_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,9.760029547692983e-05
log_Pickup_-_Time_Placement_-_Time_diff,9.399075506998721e-05
Pickup_-_Time_Confirmation_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff,8.911744278190003e-05
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff_Arrival_at_Pickup_-_Time_Placement_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,8.880314476880451e-05
multiply_Pickup_-_Time_Arrival_at_Pickup_-_Time_diff_div_Arrival_at_Pickup_-_Time_Confirmation_-_Time_diff_Pickup_-_Time_Placement_-_Time_diff_div_Arrival_at_Pickup_-_Time_Placement_-_Time_diff,8.669759946504352e-05
Pickup_-_Weekday_(Mo_=_1)_speed_std,8.461120861534048e-05
"Pickup_-_Time,_hour",8.350541341424128e-05
multiply_Pickup_-_Time_Confirmation_-_Time_diff_div_Pickup_-_Time_Placement_-_Time_diff_Pickup_-_Time_Confirmation_-_Time_diff_div_Confirmation_-_Time_Placement_-_Time_diff,8.084338524596557e-05
